genotype,replication,canopy_cover_pct,ndvi_proxy,red_edge_index_proxy,texture_uniformity,thermal_depression_c,plant_height_cm,spad_chlorophyll_proxy,disease_score_1_9,days_to_maturity,yield_potential_score
AIPHENO_G09,4,63.1,0.6,0.388,0.472,3.666,46.789,37.578,3.071,79.018,28.512
AIPHENO_G10,1,62.165,0.688,0.447,0.537,5.371,51.056,43.331,2.157,84.526,29.042
AIPHENO_G10,2,62.958,0.646,0.394,0.556,5.026,51.354,44.889,2.129,85.442,29.279
AIPHENO_G10,3,64.467,0.657,0.424,0.539,4.832,46.564,45.064,1.746,83.412,30.802
AIPHENO_G10,4,60.454,0.675,0.408,0.544,5.413,51.398,43.2,2.122,83.994,30.975
AIPHENO_G11,1,66.311,0.635,0.41,0.585,3.745,52.332,42.735,3.895,82.568,27.3
AIPHENO_G11,2,62.62,0.653,0.402,0.562,4.23,50.545,40.046,3.514,84.413,28.713
AIPHENO_G11,3,66.336,0.629,0.417,0.582,4.336,53.767,40.296,3.352,84.21,27.238
AIPHENO_G11,4,59.916,0.639,0.435,0.571,3.96,52.326,39.992,2.937,81.638,26.958
AIPHENO_G12,1,57.664,0.622,0.387,0.487,3.935,53.891,39.406,2.605,87.454,26.652
AIPHENO_G12,2,59.648,0.592,0.391,0.503,4.82,49.65,38.718,3.057,86.554,26.71
AIPHENO_G12,3,55.559,0.633,0.366,0.507,3.991,53.163,41.17,3.135,86.783,26.369
AIPHENO_G12,4,60.307,0.6,0.392,0.491,4.381,51.757,40.812,2.097,86.509,28.911
AIPHENO_G13,1,54.019,0.547,0.321,0.5,3.655,40.647,34.849,3.79,81.248,23.042
AIPHENO_G13,2,50.88,0.552,0.327,0.499,4.142,41.835,33.804,4.148,81.195,22.098
AIPHENO_G13,3,48.353,0.551,0.343,0.512,3.28,37.361,36.828,3.619,80.724,23.057
AIPHENO_G13,4,53.028,0.518,0.352,0.525,3.413,41.449,33.891,4.112,81.241,23.223
AIPHENO_G14,1,54.637,0.57,0.345,0.543,3.355,47.754,35.754,3.815,82.092,25.803
AIPHENO_G14,2,58.18,0.539,0.354,0.535,3.457,43.344,37.514,4.944,80.281,22.922
AIPHENO_G14,3,59.282,0.571,0.373,0.503,4.011,44.912,36.87,4.002,79.431,23.581
AIPHENO_G14,4,57.565,0.579,0.378,0.523,2.764,47.928,34.929,4.334,80.945,24.398
AIPHENO_G15,1,48.524,0.497,0.314,0.562,3.284,40.742,30.92,4.625,83.116,19.595
AIPHENO_G15,2,49.242,0.526,0.302,0.536,2.568,41.358,31.605,4.309,81.273,21.312
AIPHENO_G15,3,47.703,0.485,0.328,0.53,2.577,41.76,33.165,4.652,81.859,18.639
AIPHENO_G15,4,48.114,0.512,0.346,0.529,2.873,43.09,29.288,4.187,85.015,21.316
AIPHENO_G16,1,47.439,0.58,0.313,0.46,3.407,41.599,34.26,4.435,79.507,18.911
AIPHENO_G16,2,54.584,0.584,0.335,0.431,3.463,39.313,39.426,3.392,80.471,25.603
AIPHENO_G16,3,42.845,0.563,0.298,0.438,3.189,44.574,36.44,3.148,82.043,23.114
AIPHENO_G16,4,44.989,0.549,0.307,0.429,4.039,42.408,35.687,4.012,78.354,20.407
AIPHENO_G17,1,60.087,0.662,0.389,0.459,4.372,51.018,44.275,2.794,84.146,29.674
AIPHENO_G17,2,61.409,0.661,0.406,0.481,4.605,51.267,41.648,2.244,83.015,29.804
AIPHENO_G17,3,63.314,0.679,0.404,0.478,4.994,51.504,44.476,2.263,80.416,31.283
AIPHENO_G17,4,63.902,0.673,0.401,0.506,4.851,52.129,46.847,2.375,81.645,30.395
AIPHENO_G18,1,66.18,0.608,0.412,0.592,3.098,47.87,42.055,3.69,77.425,28.155
AIPHENO_G18,2,66.795,0.604,0.425,0.586,4.105,43.776,37.635,3.411,80.398,26.833
AIPHENO_G18,3,65.238,0.588,0.432,0.566,3.077,47.894,36.947,3.46,78.179,25.426
AIPHENO_G18,4,64.111,0.616,0.44,0.576,4.051,44.658,40.31,3.172,81.747,26.529
AIPHENO_G19,1,51.912,0.58,0.344,0.541,3.218,47.58,37.658,4.357,82.698,23.12
AIPHENO_G19,2,54.877,0.533,0.369,0.512,2.706,46.443,34.122,3.881,82.842,21.681
AIPHENO_G19,3,56.095,0.542,0.365,0.538,2.872,48.023,35.248,4.456,82.977,22.113
AIPHENO_G19,4,52.47,0.535,0.355,0.503,2.915,44.207,35.725,3.309,83.538,24.353
AIPHENO_G20,1,75.094,0.758,0.46,0.462,6.199,59.326,50.268,1.0,79.949,35.653
AIPHENO_G20,2,69.746,0.771,0.442,0.535,5.914,56.516,53.532,1.515,80.889,34.723
AIPHENO_G20,3,71.31,0.771,0.445,0.505,5.27,57.624,53.195,1.649,81.442,35.729
AIPHENO_G20,4,69.844,0.775,0.446,0.47,5.251,55.622,51.387,1.0,81.844,34.498
AIPHENO_G21,1,55.878,0.579,0.363,0.444,2.78,48.081,38.336,4.581,83.112,22.621
AIPHENO_G21,2,53.21,0.59,0.352,0.448,2.991,48.708,38.998,4.836,81.528,22.364
AIPHENO_G21,3,58.535,0.593,0.357,0.458,3.515,52.381,38.162,3.626,82.424,25.815
AIPHENO_G21,4,57.035,0.59,0.374,0.433,3.294,52.08,36.744,4.186,82.549,22.272
AIPHENO_G22,1,53.551,0.596,0.373,0.465,2.523,50.438,36.352,4.626,82.167,23.136
AIPHENO_G22,2,60.916,0.559,0.384,0.496,2.629,48.96,36.077,5.298,79.214,22.024
AIPHENO_G22,3,56.346,0.563,0.391,0.462,3.086,47.944,35.736,4.664,81.967,23.663
AIPHENO_G22,4,51.714,0.571,0.344,0.509,2.096,48.991,36.458,4.961,81.012,21.723
AIPHENO_G23,1,51.917,0.583,0.323,0.481,3.961,40.429,39.561,2.705,84.445,21.81
AIPHENO_G23,2,53.642,0.592,0.347,0.484,3.767,44.554,36.359,3.244,82.431,24.318
AIPHENO_G23,3,49.279,0.551,0.356,0.483,3.203,45.033,36.577,3.101,84.01,22.289
AIPHENO_G23,4,44.416,0.575,0.336,0.533,4.689,40.191,33.219,2.94,85.821,23.834
AIPHENO_G24,1,49.939,0.598,0.342,0.546,3.171,44.644,36.087,3.81,80.224,23.379
AIPHENO_G24,2,49.872,0.586,0.366,0.513,3.224,45.425,35.264,3.595,81.009,24.01
AIPHENO_G24,3,49.139,0.561,0.354,0.545,3.751,43.07,33.649,3.651,80.453,22.347
AIPHENO_G24,4,54.898,0.543,0.355,0.505,3.457,41.926,37.01,3.853,81.26,24.346
